index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,year
3250,Eaglemont,24 Brooke St,2,h,2850000,S,Miles,3/18/2017,10.3,3084,2,1,1,1777,126,1970,Banyule,-37.7676,145.0597,Eastern Metropolitan,1651,2017
3251,Alphington,1 Shiers St,4,h,1800000,S,Thomas,6/24/2017,5.7,3078,4,1,2,605,126,1970,Darebin,-37.77474,145.03012,Northern Metropolitan,2211,2017
3252,Collingwood,147 Easey St,2,h,1095000,SP,Nelson,6/24/2017,2,3066,2,1,0,151,88,1900,Yarra,-37.79853,144.99256,Northern Metropolitan,4553,2017
3253,Kensington,25 Chelmsford St,2,h,960000,S,Brad,7/26/2016,4.2,3031,2,1,0,179,126,1900,Melbourne,-37.7963,144.9327,Northern Metropolitan,5263,2016
3254,Tullamarine,1/6 Burvale Ct,3,t,555000,S,Barry,5/27/2017,12.9,3043,3,2,2,286,126,1970,Hume,-37.69728,144.87455,Western Metropolitan,3296,2017
3255,Mitcham,27 Forster St,2,h,655000,S,Barry,5/27/2017,17.2,3132,2,1,4,446,82,1975,Whitehorse,-37.81906,145.21253,Eastern Metropolitan,6871,2017
3256,Surrey Hills,2/247 Elgar Rd,3,u,930000,S,Fletchers,2/4/2016,11.2,3127,3,2,2,252,126,1992,Whitehorse,-37.8344,145.1114,Southern Metropolitan,5457,2016
3257,Sandringham,221 Bluff Rd,4,h,1490000,S,Buxton,8/26/2017,15.2,3191,4,2,2,503,168,1930,,-37.95685,145.01977,Southern Metropolitan,4497,2017
3258,Sunshine North,26 Westmoreland Rd,3,h,871000,S,Douglas,8/28/2016,13.3,3020,3,1,2,694,126,1970,Brimbank,-37.7741,144.8354,Western Metropolitan,4217,2016
3259,Hawthorn,36 College St,2,h,2265000,S,Morrison,3/18/2017,4.6,3122,2,1,1,460,126,1970,Boroondara,-37.8173,145.0248,Southern Metropolitan,11308,2017
3260,Hawthorn,5/40 Barkers Rd,2,u,470000,VB,hockingstuart,5/22/2016,4.6,3122,2,1,1,0,70,1970,Boroondara,-37.813,145.0207,Southern Metropolitan,11308,2016
3261,Dingley Village,11 Kimber Ct,4,h,1100000,S,Buxton,6/17/2017,22.2,3172,4,2,2,840,237,1980,Kingston,-37.97824,145.12949,South-Eastern Metropolitan,3940,2017
3262,Sunshine West,22 Bambara Ct,4,h,705000,S,Douglas,11/27/2016,13.5,3020,4,2,4,759,198,1975,Brimbank,-37.7951,144.8213,Western Metropolitan,6763,2016
3263,Heidelberg,5/68 Brown St,2,u,546500,S,Miles,12/3/2016,10.6,3084,2,1,1,132,69,1972,Banyule,-37.7519,145.0687,Eastern Metropolitan,2890,2016
3264,Balwyn,112 Belmore Rd,5,h,3020000,PI,Jellis,5/28/2016,9.7,3103,5,3,2,715,420,2009,Boroondara,-37.8028,145.0768,Southern Metropolitan,5682,2016
3265,Werribee,9 Jamieson Ct,3,h,372000,S,hockingstuart,5/27/2017,14.7,3030,3,1,1,239,126,1970,Wyndham,-37.88831,144.63942,Western Metropolitan,16166,2017
3266,Yarraville,50 Tongue St,4,h,1870000,S,Sweeney,10/8/2016,7,3013,4,1,3,766,167,1968,Maribyrnong,-37.8126,144.8905,Western Metropolitan,6543,2016
3267,Kingsville,22 Coronation St,4,h,1336000,S,Jas,7/26/2016,7.8,3012,3,2,1,343,109,1920,Maribyrnong,-37.8066,144.8811,Western Metropolitan,1808,2016
3268,Croydon,6 Powell St,3,h,928000,S,Philip,7/29/2017,23,3136,3,1,1,981,126,1970,Maroondah,-37.78444,145.30267,Eastern Metropolitan,11925,2017
3269,Thornbury,269 Mansfield St,4,h,795000,S,Love,5/14/2016,6.5,3071,4,2,1,402,126,1970,Darebin,-37.7584,145.0214,Northern Metropolitan,8870,2016
3270,Camberwell,19A Warburton Rd,4,u,1900000,VB,HAR,6/17/2017,7.7,3124,4,2,4,336,126,1970,Boroondara,-37.826,145.0707,Southern Metropolitan,8920,2017
3271,West Footscray,24 Elphinstone St,4,h,1300000,SP,Jas,7/29/2017,6.4,3012,4,2,2,588,126,1970,Maribyrnong,-37.79458,144.87271,Western Metropolitan,5058,2017
3272,Jacana,47 Lorraine Cr,3,h,550000,SP,Morrison,8/12/2017,14,3047,3,1,2,704,94,1950,Hume,-37.6845,144.90761,Northern Metropolitan,851,2017
3273,Strathmore,355 Napier St,4,h,1300000,PI,Nelson,11/12/2016,9.7,3041,4,3,2,0,160,1970,Moonee Valley,-37.7337,144.9184,Western Metropolitan,3284,2016
3274,Southbank,2/95 Dodds St,2,u,623000,S,Cayzer,5/7/2016,1.2,3006,2,1,1,0,126,1995,Melbourne,-37.828,144.9683,Southern Metropolitan,8400,2016
3275,Canterbury,42 Parlington St,4,h,4750000,S,Kay,5/27/2017,8.4,3126,4,3,2,967,470,1996,Boroondara,-37.81792,145.06244,Southern Metropolitan,3265,2017
3276,Strathmore,1/351 Napier St,3,u,750000,VB,Nelson,7/8/2017,8.2,3041,3,2,2,288,94,1970,Moonee Valley,-37.73415,144.91852,Western Metropolitan,3284,2017
3277,Armadale,75 Sutherland Rd,3,h,1285000,S,Marshall,2/25/2017,6.3,3143,3,1,2,186,80,1920,Stonnington,-37.8554,145.0173,Southern Metropolitan,4836,2017
3278,Balwyn North,62 Clifton St,4,h,1350000,VB,Jellis,11/12/2016,9.2,3104,4,2,2,815,126,1970,Boroondara,-37.794,145.1019,Southern Metropolitan,7809,2016
3279,Hampton,17/93 Highett Rd,2,u,450000,PI,Buxton,2/25/2017,13.7,3188,2,2,1,0,70,2007,Bayside,-37.9462,145.0212,Southern Metropolitan,5454,2017
3280,Keilor East,18a Berembong Dr,2,u,470000,VB,Nelson,8/13/2016,12.8,3033,2,1,1,218,88,1970,Moonee Valley,-37.7337,144.8617,Western Metropolitan,5629,2016
3281,Viewbank,11 Grantham Rd,4,h,940000,VB,Miles,6/18/2016,13.8,3084,4,3,2,574,126,1970,Banyule,-37.7319,145.0907,Eastern Metropolitan,2698,2016
3282,Blackburn,27 Gerald St,4,h,1850000,VB,Noel,9/16/2017,13.4,3130,4,2,2,628,287,2012,,-37.82942,145.16714,Eastern Metropolitan,5713,2017
3283,Heidelberg,34 Quinn St,3,h,1125000,VB,Ray,7/30/2016,10.6,3084,3,1,2,0,125,1950,Banyule,-37.7502,145.0718,Eastern Metropolitan,2890,2016
3284,Ivanhoe East,13 York Av,4,h,2040000,VB,Miles,9/23/2017,7.8,3079,4,2,2,585,126,1970,,-37.7709,145.05676,Eastern Metropolitan,1554,2017
3285,South Melbourne,315 Moray St,4,h,2180000,S,Marshall,12/10/2016,2.1,3205,4,3,1,200,153,1860,Port Phillip,-37.836,144.965,Southern Metropolitan,5943,2016
3286,Doncaster East,2A Dianne St,3,h,1360000,S,Jellis,5/27/2017,14.3,3109,3,2,2,402,200,2007,Manningham,-37.79408,145.16352,Eastern Metropolitan,10999,2017
3287,North Melbourne,2/100 Curzon St,2,t,888000,S,Jellis,12/10/2016,2.3,3051,2,1,1,0,126,1970,Melbourne,-37.8016,144.9486,Northern Metropolitan,6821,2016
3288,Point Cook,114 Fongeo Dr,3,h,540000,S,Barry,9/3/2017,14.7,3030,3,2,2,353,135,2011,,-37.9105,144.73457,Western Metropolitan,15542,2017
3289,Collingwood,8/79 Oxford St,3,u,1500000,S,Jellis,8/22/2016,1.6,3066,2,2,2,0,159,1920,Yarra,-37.8042,144.9845,Northern Metropolitan,4553,2016
3290,Pascoe Vale,8 Ann St,4,h,1395000,S,Nelson,5/20/2017,9.9,3044,4,3,4,590,126,1970,Moreland,-37.7302,144.9357,Northern Metropolitan,7485,2017
3291,Doncaster,41 Bordeaux St,4,h,1616000,S,Barry,5/27/2017,12.4,3108,4,2,2,668,126,1970,Manningham,-37.78198,145.11877,Eastern Metropolitan,9028,2017
3292,Yarraville,9 Hawkhurst St,3,h,1190000,SP,Jas,9/16/2017,6.3,3013,3,1,2,515,89,1955,,-37.82067,144.87725,Western Metropolitan,6543,2017
3293,Hawthorn,3/32 Power St,2,u,495000,S,Kay,5/28/2016,4.6,3122,2,1,1,0,85,1970,Boroondara,-37.8157,145.0273,Southern Metropolitan,11308,2016
3294,Malvern,4/8 Park St,3,u,1000000,VB,Jellis,5/28/2016,7.4,3144,3,2,1,176,126,1970,Stonnington,-37.8563,145.0369,Southern Metropolitan,4675,2016
3295,Richmond,49 Garfield St,2,t,950000,VB,hockingstuart,5/6/2017,2.6,3121,2,1,1,113,118,2012,Yarra,-37.8119,144.9947,Northern Metropolitan,14949,2017
3296,Elwood,4/6 Pine Av,2,u,730000,S,Biggin,7/22/2017,7.2,3184,2,2,1,0,126,2013,Port Phillip,-37.88678,144.98855,Southern Metropolitan,8989,2017
3297,Elwood,1/99 Spray St,2,u,632000,PI,hockingstuart,11/7/2016,7.7,3184,2,1,1,0,54,1970,Port Phillip,-37.8831,144.9855,Southern Metropolitan,8989,2016
3298,Pascoe Vale,2 Hazel Gr,2,h,915000,S,New,12/3/2016,9.9,3044,2,1,3,629,126,1975,Moreland,-37.7312,144.9399,Northern Metropolitan,7485,2016
3299,Abbotsford,45 William St,2,h,1172500,S,Biggin,8/13/2016,2.5,3067,2,1,1,195,126,1970,Yarra,-37.8084,144.9973,Northern Metropolitan,4019,2016
3300,Brunswick West,30 Cornwall St,3,h,1000000,SP,Woodards,9/23/2017,5.2,3055,3,1,2,399,105,1950,,-37.75744,144.94945,Northern Metropolitan,7082,2017
3301,Burwood,1/10 McComas Gr,2,u,650000,PI,Buxton,3/11/2017,11.7,3125,2,1,1,194,120,1975,Whitehorse,-37.8509,145.1119,Southern Metropolitan,5678,2017
3302,Essendon,4/23 Fletcher St,2,u,456000,S,Brad,10/8/2016,8,3040,2,1,0,0,126,1970,Moonee Valley,-37.7557,144.9222,Western Metropolitan,9264,2016
3303,Pascoe Vale,27 Sefton St,3,h,975000,SP,Brad,10/15/2016,9.9,3044,3,1,3,686,151,1970,Moreland,-37.7231,144.9252,Northern Metropolitan,7485,2016
3304,Watsonia,61 Princes St,3,h,700000,S,Morrison,8/12/2017,14.5,3087,3,1,1,530,126,1970,Banyule,-37.70598,145.07713,Northern Metropolitan,2329,2017
3305,Taylors Lakes,7 Hanson Ct,5,h,1300000,PI,Barry,5/27/2017,15.5,3038,5,3,2,771,126,1970,Brimbank,-37.68166,144.77422,Western Metropolitan,5336,2017
3306,Ashburton,101/218 High St,2,u,500000,VB,Fletchers,3/4/2017,11,3147,2,1,1,710,126,2010,Boroondara,-37.8636,145.0794,Southern Metropolitan,3052,2017
3307,Altona North,313 Millers Rd,4,h,805000,S,Sweeney,7/22/2017,9.4,3025,4,2,5,562,146,1950,Hobsons Bay,-37.84384,144.84637,Western Metropolitan,5132,2017
3308,West Melbourne,9/561 Spencer St,3,u,995000,S,Alexkarbon,3/18/2017,1.9,3003,3,1,1,0,153,1940,Melbourne,-37.8076,144.9474,Northern Metropolitan,2230,2017
3309,Balwyn,9/11 Parring Rd,2,u,805000,S,Noel,8/6/2016,9.7,3103,3,1,1,209,126,1975,Boroondara,-37.8125,145.0901,Southern Metropolitan,5682,2016
3310,Elsternwick,6/26 Parkside St,2,u,975000,SP,Gary,6/3/2017,7.2,3185,2,1,1,1764,106,1970,Glen Eira,-37.8879,145.01198,Southern Metropolitan,4898,2017
3311,Fawkner,46 Percy St,3,h,615000,S,Ray,5/7/2016,12.4,3060,3,1,2,650,112,1950,Moreland,-37.7076,144.9753,Northern Metropolitan,5070,2016
3312,Heidelberg West,581 Waterdale Rd,2,h,532000,S,Ray,5/27/2017,8.8,3081,2,2,1,220,126,1970,Banyule,-37.73549,145.0487,Eastern Metropolitan,2674,2017
3313,Kew,4/11 Bowen St,2,u,831000,S,Noel,8/6/2016,5.6,3101,2,1,1,0,126,1970,Boroondara,-37.8117,145.0222,Southern Metropolitan,10331,2016
3314,Maidstone,47A Madden St,3,h,755000,S,Jas,8/12/2017,6.4,3012,3,2,2,0,126,1970,Maribyrnong,-37.78966,144.87821,Western Metropolitan,3873,2017
3315,Glenroy,90 Moonee Bvd,3,h,710000,S,Stockdale,5/13/2017,13,3046,3,1,2,587,126,1970,Moreland,-37.6995,144.905,Northern Metropolitan,8870,2017
3316,Gowanbrae,39 Balerno Cir,3,t,468000,S,Nelson,5/7/2016,13.6,3043,3,2,2,178,138,2000,Moreland,-37.7087,144.8962,Western Metropolitan,1071,2016
3317,Balwyn,3 Westminster St,3,h,2125000,SP,Jellis,5/7/2016,9.7,3103,3,2,2,699,252,1985,Boroondara,-37.814,145.0966,Southern Metropolitan,5682,2016
3318,Kooyong,6/1 Monaro Rd,2,h,1290000,S,hockingstuart,10/15/2016,6.2,3144,2,2,2,0,126,1970,Stonnington,-37.8407,145.0343,Southern Metropolitan,394,2016
3319,Port Melbourne,306/77 Nott St,2,u,600000,PI,Chisholm,10/8/2016,3.8,3207,2,2,1,995,126,1970,Port Phillip,-37.8407,144.9383,Southern Metropolitan,8648,2016
3320,Bundoora,50 Cameron Pde,3,h,687000,S,Ray,6/17/2017,12.1,3083,3,1,3,559,126,1970,Banyule,-37.69849,145.06705,Northern Metropolitan,10175,2017
3321,Brunswick West,89 Pearson St,3,h,942000,S,McDonald,3/4/2017,5.9,3055,3,1,0,358,126,1970,Moreland,-37.7642,144.9493,Northern Metropolitan,7082,2017
3322,Northcote,78 Jenkins St,3,h,1590000,S,Jellis,6/24/2017,5.3,3070,3,1,1,563,126,1970,Darebin,-37.76557,145.01052,Northern Metropolitan,11364,2017
3323,Preston,66 McNamara St,4,h,1148000,S,Nelson,8/12/2017,8.4,3072,4,1,2,552,140,1940,Darebin,-37.72879,144.98538,Northern Metropolitan,14577,2017
3324,Mitcham,8/12 Irvine St,3,t,800000,VB,Noel,6/17/2017,17.2,3132,3,2,2,343,130,2010,Whitehorse,-37.82158,145.21129,Eastern Metropolitan,6871,2017
3325,Avondale Heights,6 Ridley Av,3,h,720000,PI,Harcourts,7/8/2017,9.5,3034,3,1,1,582,110,1965,Moonee Valley,-37.76063,144.8603,Western Metropolitan,4502,2017
3326,Carnegie,59 Oakleigh Rd,3,h,1400000,PI,Jellis,8/26/2017,10.1,3163,3,2,3,818,193,2011,,-37.89877,145.05132,Southern Metropolitan,7822,2017
3327,South Yarra,18 Avoca St,4,h,5700000,S,Castran,11/12/2016,3.3,3141,4,2,0,292,272,1880,Stonnington,-37.8377,144.9894,Southern Metropolitan,14887,2016
3328,Burwood,7 Carmody St,3,t,918000,S,Bekdon,6/17/2017,10.4,3125,3,2,1,207,144,2012,Monash,-37.85682,145.10873,Southern Metropolitan,5678,2017
3329,Windsor,207/152 Peel St,2,u,580000,VB,Jellis,9/3/2016,5.1,3181,2,2,1,0,78,2012,Port Phillip,-37.8558,144.9903,Southern Metropolitan,4380,2016
3330,Port Melbourne,40 Nelson St,3,h,1150000,S,Marshall,12/3/2016,3.8,3207,3,2,1,0,134,1990,Port Phillip,-37.8359,144.9342,Southern Metropolitan,8648,2016
3331,Carnegie,42 Margaret St,4,h,1506000,S,Jellis,6/4/2016,11.4,3163,4,2,2,561,204,1925,Glen Eira,-37.8934,145.0633,Southern Metropolitan,7822,2016
3332,North Melbourne,5 Hardwicke St,2,h,516000,SP,Jellis,9/23/2017,1.8,3051,2,1,2,1044,79,1970,,-37.7983,144.94687,Northern Metropolitan,6821,2017
3333,Bentleigh East,24 Kurrajong St,3,h,950000,PI,Greg,5/28/2016,13.9,3165,3,1,1,598,126,1970,Glen Eira,-37.9129,145.0786,Southern Metropolitan,10969,2016
3334,Yarraville,342 Francis St,3,h,681000,S,Sweeney,4/16/2016,7,3013,2,1,1,446,126,1970,Maribyrnong,-37.8183,144.8666,Western Metropolitan,6543,2016
3335,Keilor East,15 Craig St,3,h,880000,S,Nelson,12/10/2016,12.8,3033,3,1,2,584,123,1980,Moonee Valley,-37.7435,144.8798,Western Metropolitan,5629,2016
3336,Hawthorn East,536 Barkers Rd,3,h,2225000,VB,Jellis,6/17/2017,6.2,3123,3,1,2,616,126,1920,Boroondara,-37.81724,145.05688,Southern Metropolitan,6482,2017
3337,Hawthorn,357 Auburn Rd,4,h,2325000,S,Jellis,9/16/2017,5.3,3122,4,3,2,649,227,1920,,-37.83508,145.0429,Southern Metropolitan,11308,2017
3338,Elsternwick,24 Clarence St,3,h,1940000,S,Biggin,5/20/2017,8.5,3185,3,2,2,439,126,1912,Glen Eira,-37.892,145.0103,Southern Metropolitan,4898,2017
3339,Coburg North,146 Elizabeth St,3,h,2000000,S,Ray,9/24/2016,9.2,3058,4,1,1,973,126,1970,Moreland,-37.7284,144.9843,Northern Metropolitan,3445,2016
3340,Malvern,101 Stanhope St,3,h,2500000,VB,Marshall,9/23/2017,5.9,3144,3,2,2,395,149,1880,,-37.85892,145.03731,Southern Metropolitan,4675,2017
3341,Bulleen,43 Robert St,1,h,1310000,S,Jellis,5/27/2017,10.8,3105,1,1,1,604,126,1999,Manningham,-37.75981,145.08599,Eastern Metropolitan,4480,2017
3342,Altona,1A Merritt Ct,3,t,705000,S,hockingstuart,2/11/2017,13.8,3018,3,2,2,197,152,1970,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,5301,2017
3343,Hawthorn East,13 Clive Rd,4,h,2450000,VB,Jellis,5/22/2016,7.5,3123,3,3,2,523,316,1955,Boroondara,-37.8319,145.0503,Southern Metropolitan,6482,2016
3344,Chadstone,3/3 Inga Ct,2,h,674000,S,Buxton,6/3/2017,11.7,3148,2,1,1,218,94,1980,Monash,-37.88093,145.10574,Southern Metropolitan,3582,2017
3345,Ascot Vale,37 Epsom Rd,3,h,1050000,SP,Frank,7/26/2016,5.9,3032,3,1,3,536,126,1970,Moonee Valley,-37.7728,144.9076,Western Metropolitan,6567,2016
3346,Sunshine West,60 Bardsley St,3,h,650000,SP,Prof.,3/18/2017,13.5,3020,3,1,3,612,126,1970,Brimbank,-37.7916,144.82,Western Metropolitan,6763,2017
3347,Templestowe Lower,5 MacRobertson St,4,h,1118000,S,Philip,6/27/2016,13.8,3107,4,2,2,705,195,1970,Manningham,-37.7595,145.1176,Eastern Metropolitan,5420,2016
3348,South Yarra,51 Moore St,2,h,1160000,S,Jellis,7/1/2017,2.7,3141,2,1,0,140,126,1970,Stonnington,-37.84369,144.98914,Southern Metropolitan,14887,2017
3349,Prahran,19 Airlie Av,4,h,2635000,S,Jellis,8/12/2017,4.6,3181,4,2,2,401,154,1910,Stonnington,-37.85565,145.00839,Southern Metropolitan,7717,2017
3350,Sunbury,7 Fullbrook Dr,3,h,480000,PI,Leeburn,8/26/2017,31.7,3429,3,2,2,646,126,1970,,-37.56005,144.70892,Western Metropolitan,14092,2017
3351,Glenroy,48 Everard St,3,h,580000,S,Barry,11/19/2016,13,3046,3,1,2,650,142,1960,Moreland,-37.7002,144.9408,Northern Metropolitan,8870,2016
3352,West Footscray,14 Stanhope St,3,h,975000,S,Jas,4/22/2017,8.2,3012,3,1,0,318,126,1970,Maribyrnong,-37.7955,144.8713,Western Metropolitan,5058,2017
3353,Pascoe Vale,8 Merbein St,3,h,683500,S,hockingstuart,5/14/2016,9.9,3044,3,1,2,590,126,1970,Moreland,-37.717,144.9507,Northern Metropolitan,7485,2016
3354,Balwyn North,3 Capella St,2,h,1389000,S,Jellis,5/22/2016,9.2,3104,2,1,4,701,126,1970,Boroondara,-37.7867,145.0718,Southern Metropolitan,7809,2016
3355,Heidelberg,57 Martin St,3,h,1375000,S,Miles,2/25/2017,10.6,3084,3,1,1,639,115,1965,Banyule,-37.7502,145.0605,Eastern Metropolitan,2890,2017
3356,Camberwell,26 Oxford St,3,h,1622000,S,Buxton,5/27/2017,7.7,3124,3,2,2,446,126,1970,Boroondara,-37.84473,145.09218,Southern Metropolitan,8920,2017
3357,Kew,3/100 Mount St,2,u,480000,VB,RT,6/27/2016,5.6,3101,2,2,1,0,126,2005,Boroondara,-37.8162,145.0592,Southern Metropolitan,10331,2016
3358,Heidelberg Heights,18 Francis St,2,h,780000,S,Barry,5/20/2017,10.5,3081,2,1,1,433,126,1970,Banyule,-37.7521,145.0516,Eastern Metropolitan,2947,2017
3359,Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,12/10/2016,5.9,3032,4,1,1,300,185,1890,Moonee Valley,-37.7766,144.9143,Western Metropolitan,6567,2016
3360,Surrey Hills,25 James St,5,h,2505000,S,Jellis,5/27/2017,10.2,3127,5,2,0,739,266.53,1927,Boroondara,-37.81708,145.09566,Southern Metropolitan,5457,2017
3361,Port Melbourne,61/1 Graham St,1,u,540000,VB,Chisholm,11/27/2016,3.8,3207,1,1,1,0,126,2000,Port Phillip,-37.8429,144.9449,Southern Metropolitan,8648,2016
3362,Essendon,55 Richardson St,4,h,1800000,S,Nelson,6/4/2016,8,3040,3,2,2,648,215,1910,Moonee Valley,-37.7493,144.9112,Western Metropolitan,9264,2016
3363,Coburg,171 Moreland Rd,4,h,145000,PI,Jellis,6/4/2016,7.8,3058,3,1,1,536,164,1910,Moreland,-37.7555,144.9658,Northern Metropolitan,11204,2016
3364,Carnegie,121 Leila Rd,3,h,1500000,S,Woodards,9/16/2017,10.1,3163,3,2,2,603,126,1970,,-37.90206,145.05598,Southern Metropolitan,7822,2017
3365,Kealba,6 McGrath Cl,3,h,545000,SP,Brad,7/16/2016,15,3021,3,2,2,570,163,1980,Brimbank,-37.7367,144.8246,Western Metropolitan,1202,2016
3366,Seddon,57 Charles St,2,h,850000,VB,Village,7/1/2017,5.1,3011,2,1,1,152,91,1910,Maribyrnong,-37.80697,144.8928,Western Metropolitan,2417,2017
3367,Kew,176 Cotham Rd,4,h,2625000,PI,Marshall,3/18/2017,5.6,3101,4,2,2,717,225,1890,Boroondara,-37.8083,145.0418,Southern Metropolitan,10331,2017
3368,Aberfeldie,5 Aroona Ct,3,h,1680000,SP,Raine,7/22/2017,7.5,3040,3,2,2,673,136,1965,Moonee Valley,-37.76316,144.89799,Western Metropolitan,1543,2017
3369,Brunswick,5/185 Brunswick Rd,4,t,860000,PI,Nelson,5/7/2016,5.2,3056,4,2,1,95,97,1970,Moreland,-37.7772,144.9653,Northern Metropolitan,11918,2016
3370,Camberwell,49 Christowel St,5,h,2600000,VB,Marshall,12/3/2016,7.8,3124,5,4,1,708,348,1940,Boroondara,-37.8386,145.067,Southern Metropolitan,8920,2016
3371,Glen Waverley,45 Kennedy St,3,h,1750000,PI,Roger,9/16/2017,16.7,3150,3,1,0,727,126,1970,,-37.8763,145.17166,Eastern Metropolitan,15321,2017
3372,Hawthorn East,8/772 Burwood Rd,2,u,802500,S,Jellis,5/27/2017,6.2,3123,2,1,2,966,87,1970,Boroondara,-37.82524,145.05568,Southern Metropolitan,6482,2017
3373,Ormond,37 Lewis St,3,h,1770000,S,hockingstuart,9/10/2016,11.8,3204,3,2,2,667,142,1950,Glen Eira,-37.9088,145.0471,Southern Metropolitan,3578,2016
3374,Moonee Ponds,18A Fanny St,5,t,980000,PI,Nelson,3/18/2017,6.9,3039,5,2,2,207,168,2004,Moonee Valley,-37.7615,144.9333,Western Metropolitan,6232,2017
3375,Footscray,75 MacPherson St,2,h,885000,S,Jas,4/8/2017,6.4,3011,2,1,0,267,99.5,1890,Maribyrnong,-37.7961,144.89,Western Metropolitan,7570,2017
3376,Preston,176 Albert St,3,h,700000,S,hockingstuart,10/8/2016,8.8,3072,3,1,2,562,126,1970,Darebin,-37.7339,145.0247,Northern Metropolitan,14577,2016
3377,Albion,25 Brisbane St,2,u,463000,S,Barry,9/24/2016,13.9,3020,3,1,1,199,126,1970,Brimbank,-37.7761,144.8164,Western Metropolitan,2185,2016
3378,Balwyn,5/14 Parring Rd,2,u,806000,S,Noel,12/3/2016,9.7,3103,2,1,1,122,97,1977,Boroondara,-37.8124,145.0916,Southern Metropolitan,5682,2016
3379,Bentleigh East,2/111 Marlborough St,3,u,800000,PI,Buxton,6/18/2016,13.9,3165,3,2,2,252,126,1994,Glen Eira,-37.9085,145.0683,Southern Metropolitan,10969,2016
3380,Elwood,8/89 Addison St,3,u,950000,S,Whiting,5/13/2017,7.7,3184,3,1,1,0,126,1970,Port Phillip,-37.8794,144.9804,Southern Metropolitan,8989,2017
3381,Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,3/18/2017,2.5,3067,3,2,2,0,126,2010,Yarra,-37.8093,144.9959,Northern Metropolitan,4019,2017
3382,Bentleigh East,18 Paloma St,2,h,1120000,S,hockingstuart,6/18/2016,13.9,3165,3,1,2,678,126,1970,Glen Eira,-37.9146,145.0767,Southern Metropolitan,10969,2016
3383,Altona North,1/156 Chambers Rd,3,h,620000,SP,Hunter,8/22/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,-37.8262,144.8443,Western Metropolitan,5132,2016
3384,Avondale Heights,16a Arbor Tce,3,u,665000,S,Brad,4/16/2016,10.5,3034,3,2,1,289,126,1970,Moonee Valley,-37.7644,144.8657,Western Metropolitan,4502,2016
3385,Eltham North,45 Parry Rd,4,h,895000,SP,Buckingham,5/27/2017,18,3095,4,3,2,792,233,1995,Nillumbik,-37.68966,145.14649,Eastern Metropolitan,2346,2017
3386,Essendon,3/7 Violet St,2,u,390000,VB,Nelson,6/18/2016,8,3040,2,1,1,0,66,1970,Moonee Valley,-37.7554,144.9127,Western Metropolitan,9264,2016
3387,Surrey Hills,68 Weybridge St,3,h,1652000,S,Kay,5/20/2017,11.2,3127,3,2,2,368,150,1970,Boroondara,-37.8176,145.0882,Southern Metropolitan,5457,2017
3388,Reservoir,2/33 Oconnor St,2,t,521000,S,Harcourts,6/3/2017,12,3073,2,1,1,0,94,2009,Darebin,-37.7106,145.00177,Northern Metropolitan,21650,2017
3389,Ivanhoe,3/24 Green St,3,t,750000,S,Barry,4/16/2016,7.9,3079,3,1,1,110,126,1990,Banyule,-37.765,145.0407,Eastern Metropolitan,5549,2016
3390,Greenvale,29 Piccadilly Ct,4,h,810000,SP,Jason,6/24/2017,20.4,3059,4,2,3,990,126,1970,Hume,-37.6579,144.90523,Northern Metropolitan,4864,2017
3391,Maribyrnong,104 Gatehouse Pl,2,u,420000,SP,Biggin,5/7/2016,8.7,3032,2,1,2,5661,103,1940,Maribyrnong,-37.773,144.8806,Western Metropolitan,4918,2016
3392,Richmond,249 Punt Rd,4,h,905000,S,Biggin,5/22/2016,2.6,3121,4,1,0,254,124,1890,Yarra,-37.8201,144.9898,Northern Metropolitan,14949,2016
3393,Nunawading,90 Springvale Rd,3,h,926000,S,Fletchers,7/1/2017,15.4,3131,3,1,0,738,126,1954,Whitehorse,-37.81376,145.17641,Eastern Metropolitan,4973,2017
3394,Balwyn,1/32 Yerrin St,3,t,1472000,S,Noel,7/16/2016,9.7,3103,3,2,2,306,170,1995,Boroondara,-37.8106,145.0848,Southern Metropolitan,5682,2016
3395,Mill Park,15 Randell Ct,4,h,865000,S,Ray,6/17/2017,17.9,3082,4,2,2,612,236,2013,Whittlesea,-37.65478,145.05199,Northern Metropolitan,10529,2017
3396,Pascoe Vale,1/43 Surrey St,2,h,478000,S,Nelson,5/27/2017,8.5,3044,2,1,1,0,73,1960,Moreland,-37.72436,144.94855,Northern Metropolitan,7485,2017
3397,Hawthorn,8/32 Liddiard St,2,u,440000,SP,Jellis,9/10/2016,4.6,3122,2,1,1,0,52,1970,Boroondara,-37.8192,145.0385,Southern Metropolitan,11308,2016
3398,Fawkner,3 Penn Ct,3,h,605000,S,Brad,9/17/2016,12.4,3060,3,1,2,531,126,1970,Moreland,-37.7022,144.9669,Northern Metropolitan,5070,2016
3399,Coburg North,1 McDonnell Rd,2,h,820000,SP,Nelson,11/12/2016,9.2,3058,2,1,4,629,120,1960,Moreland,-37.7276,144.9688,Northern Metropolitan,3445,2016
