index,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,,year
1724,Altona,4/31 Millers Rd,2,u,391000,SP,Greg,2/11/2017,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301,,2017
1725,Kensington,3/58 Rankins Rd,1,t,500000,VB,Nelson,7/1/2017,3.4,3031,1,1,0,142,126,1970,Melbourne,-37.79059,144.93145,Northern Metropolitan,5263,,2017
1726,Ascot Vale,18A Middle St,3,t,1200000,S,Jellis,6/24/2017,4.3,3032,3,2,2,198,126,1970,Moonee Valley,-37.7771,144.92793,Western Metropolitan,6567,,2017
1727,Camberwell,6 Gavan St,3,h,1780000,S,Fletchers,10/15/2016,7.8,3124,3,1,1,769,133,1930,Boroondara,-37.8482,145.0949,Southern Metropolitan,8920,,2016
1728,Boronia,2 Norwich St,4,h,728000,S,iTRAK,8/26/2017,25,3155,4,1,1,744,136,1970,,-37.85652,145.2758,Eastern Metropolitan,9704,,2017
1729,Windsor,14 McIlwrick St,2,h,1300000,VB,hockingstuart,9/16/2017,4.6,3181,2,1,1,258,126,1970,,-37.85591,144.99356,Southern Metropolitan,4380,,2017
1730,Thornbury,119A Harold St,4,h,1605000,PI,McGrath,9/16/2017,7,3071,4,2,2,348,92,1930,,-37.75582,144.98951,Northern Metropolitan,8870,,2017
1731,Carnegie,61 Belsize Av,2,h,1441000,S,Jellis,9/16/2017,10.1,3163,2,1,1,551,126,1970,,-37.8926,145.05869,Southern Metropolitan,7822,,2017
1732,Yarraville,55 Ofarrell St,3,h,1250000,VB,Village,3/18/2017,7,3013,3,2,1,249,126,1970,Maribyrnong,-37.8099,144.8859,Western Metropolitan,6543,,2017
1733,Clayton,1/76 Scotsburn Av,3,u,810000,S,Buxton,9/16/2017,16.7,3168,3,1,2,340,100,1955,,-37.92559,145.10804,South-Eastern Metropolitan,5837,,2017
1734,Highett,48 Turner Rd,2,h,832000,S,Buxton,9/3/2017,16,3190,2,1,1,254,126,1970,,-37.95188,145.05369,Southern Metropolitan,4794,,2017
1735,Mount Waverley,1 Kingswood Av,3,h,1150000,SP,Buxton,7/8/2017,14.2,3149,3,2,3,650,126,1970,Monash,-37.89469,145.12363,Eastern Metropolitan,13366,,2017
1736,Avondale Heights,33a Deutscher St,3,u,765000,S,Moonee,5/6/2017,10.5,3034,3,2,1,292,150,2008,Moonee Valley,-37.7593,144.8561,Western Metropolitan,4502,,2017
1737,Parkdale,5 Alameda St,4,h,1630000,S,Hodges,9/9/2017,21.5,3195,4,2,2,554,126,1970,,-37.99323,145.0744,South-Eastern Metropolitan,5087,,2017
1738,Camberwell,2/1 Glen Iris Rd,3,t,1615000,S,Marshall,9/3/2016,7.8,3124,3,1,2,389,126,1970,Boroondara,-37.8435,145.0695,Southern Metropolitan,8920,,2016
1739,Glen Iris,5/1679 Malvern Rd,2,u,856500,S,Marshall,11/19/2016,9.2,3146,2,1,1,0,126,1960,Stonnington,-37.8566,145.0553,Southern Metropolitan,10412,,2016
1740,Ashwood,1/16 Raymond St,3,t,900500,S,Jellis,11/27/2016,12.2,3147,3,2,2,256,134,2012,Monash,-37.8655,145.1096,Southern Metropolitan,2894,,2016
1741,St Kilda,20/62 Wellington St,1,u,450000,SP,McGrath,5/7/2016,6.1,3182,1,1,1,0,126,1970,Port Phillip,-37.8571,144.987,Southern Metropolitan,13240,,2016
1742,Keilor East,1/74 Parkside Av,3,t,518500,SP,Nelson,8/12/2017,11.7,3033,3,1,1,165,126,1970,Moonee Valley,-37.74182,144.85498,Western Metropolitan,5629,,2017
1743,Camberwell,46 Athelstan Rd,5,h,2608000,S,Marshall,10/15/2016,7.8,3124,5,2,4,730,3112,1920,Boroondara,-37.8424,145.0639,Southern Metropolitan,8920,,2016
1744,Travancore,2/9 Buckland St,2,u,503000,S,Nelson,12/10/2016,5.3,3032,2,1,1,0,126,1960,Moonee Valley,-37.7822,144.9342,Western Metropolitan,1052,,2016
1745,Glen Iris,26 Gardiner Pde,4,h,2975000,S,Marshall,12/10/2016,9.2,3146,4,3,4,0,30,1930,Boroondara,-37.8541,145.0643,Southern Metropolitan,10412,,2016
1746,Werribee,46 Coventry Dr,4,h,482500,S,YPA,7/29/2017,14.7,3030,4,2,0,533,170,1980,Wyndham,-37.89337,144.64003,Western Metropolitan,16166,,2017
1747,Moonee Ponds,26 Scotia St,2,h,760000,PI,Barry,6/3/2017,6.2,3039,2,1,0,251,110,1980,Moonee Valley,-37.76856,144.90577,Western Metropolitan,6232,,2017
1748,South Yarra,202/800 Chapel St,2,u,840000,S,Beller,2/25/2017,3.3,3141,2,2,1,0,92,2002,Stonnington,-37.8361,144.9966,Southern Metropolitan,14887,,2017
1749,Maribyrnong,75 Edgewater Bvd,3,h,820000,PI,Biggin,5/28/2016,8.7,3032,3,2,2,203,160,2006,Maribyrnong,-37.7853,144.8972,Western Metropolitan,4918,,2016
1750,Port Melbourne,7/55 Johnston St,2,u,720000,S,Buxton,5/7/2016,3.8,3207,2,1,1,0,126,1970,Port Phillip,-37.8434,144.9435,Southern Metropolitan,8648,,2016
1751,Glen Waverley,1/8 Short St,2,u,1100000,S,Ray,6/3/2017,16.7,3150,2,1,1,258,106,1980,Monash,-37.88245,145.15982,Eastern Metropolitan,15321,,2017
1752,Brighton East,313 Nepean Hwy,2,h,994000,S,Buxton,2/25/2017,10.7,3187,2,2,2,539,126,1970,Bayside,-37.9013,145.0072,Southern Metropolitan,6938,,2017
1753,Glenroy,2/4 Ash Ct,2,h,270000,PI,Ray,7/30/2016,13,3046,2,1,1,155,155,2000,Moreland,-37.6972,144.9239,Northern Metropolitan,8870,,2016
1754,Hawthorn East,4/61 Mayston St,1,u,560000,VB,Jellis,8/12/2017,6.2,3123,1,1,1,803,126,1970,Boroondara,-37.82689,145.05542,Southern Metropolitan,6482,,2017
1755,Seaford,12 Riviera St,4,h,795000,S,Veitch,5/27/2017,35.4,3198,4,2,2,631,158,1960,Frankston,-38.08814,145.12598,South-Eastern Metropolitan,8077,,2017
1756,Bulleen,4 Graeme Ct,4,h,1244000,PI,Fletchers,4/23/2016,11.8,3105,4,2,2,530,126,1970,Manningham,-37.7735,145.088,Eastern Metropolitan,4480,,2016
1757,Watsonia,28 Papua St,2,h,701000,S,Barry,5/28/2016,14.9,3087,4,1,2,762,98,1970,Banyule,-37.7112,145.0861,Northern Metropolitan,2329,,2016
1758,Ripponlea,13/209 Hotham St,2,u,520000,S,hockingstuart,5/28/2016,7.4,3185,2,1,1,0,74,1971,Port Phillip,-37.8788,144.9974,Southern Metropolitan,821,,2016
1759,Essendon,1/5 Thistle St,1,h,350000,VB,Jellis,4/22/2017,8,3040,1,1,1,46,126,1970,Moonee Valley,-37.7515,144.9125,Western Metropolitan,9264,,2017
1760,Braybrook,16 Menzies St,2,h,760000,S,Douglas,4/8/2017,10.8,3019,2,1,1,604,82,1950,Maribyrnong,-37.782,144.8528,Western Metropolitan,3589,,2017
1761,Glenroy,59 Pecham St,3,h,705000,S,Barry,4/22/2017,13,3046,3,1,2,694,110,1960,Moreland,-37.6974,144.9112,Northern Metropolitan,8870,,2017
1762,Coburg,1B Crozier St,3,h,890000,S,Peter,7/22/2017,6.7,3058,3,2,2,190,126,2015,Moreland,-37.74978,144.97738,Northern Metropolitan,11204,,2017
1763,Reservoir,8/99 Barton St,2,u,300000,VB,Love,8/22/2016,11.2,3073,2,1,1,0,55,2014,Darebin,-37.7112,144.9989,Northern Metropolitan,21650,,2016
1764,South Yarra,17/393 Toorak Rd,1,u,400000,S,LITTLE,5/14/2016,3.3,3141,1,1,1,1424,126,1970,Stonnington,-37.8402,145.0029,Southern Metropolitan,14887,,2016
1765,Kew,14 Atkins St,4,h,2375000,S,Jellis,9/16/2017,5.4,3101,4,3,2,481,126,1970,,-37.81027,145.04476,Southern Metropolitan,10331,,2017
1766,Reservoir,1/9 Daventry St,2,u,405000,S,Barry,5/28/2016,11.2,3073,2,1,1,121,126,1965,Darebin,-37.7146,145.001,Northern Metropolitan,21650,,2016
1767,Doncaster,8/3 Carnarvon St,3,u,700000,PI,Barry,6/4/2016,13.9,3108,3,2,2,0,119,2007,Manningham,-37.7862,145.1235,Eastern Metropolitan,9028,,2016
1768,Collingwood,130 Perry St,3,t,910000,S,Jellis,9/10/2016,1.6,3066,3,1,1,171,126,1970,Yarra,-37.8006,144.9925,Northern Metropolitan,4553,,2016
1769,Richmond,12 Longfield St,3,h,1540000,S,hockingstuart,2/25/2017,2.6,3121,3,1,1,0,126,1970,Yarra,-37.8214,145.0119,Northern Metropolitan,14949,,2017
1770,Altona North,4 Knapp St,3,h,781000,S,Jas,9/3/2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay,-37.8291,144.835,Western Metropolitan,5132,,2016
1771,Glenroy,7 Mitchell Ct,2,h,650000,S,Ray,5/27/2017,11.2,3046,2,1,2,650,126,1970,Moreland,-37.69712,144.91949,Northern Metropolitan,8870,,2017
1772,Hawthorn,15/9 Lisson Gr,2,u,635000,S,Jellis,4/8/2017,4.6,3122,2,1,1,2679,78,1960,Boroondara,-37.8261,145.0269,Southern Metropolitan,11308,,2017
1773,Kew,51 Princess St,4,h,2460000,S,Marshall,9/24/2016,5.6,3101,4,4,2,737,293,1910,Boroondara,-37.8042,145.0291,Southern Metropolitan,10331,,2016
1774,Kealba,128 Driscolls Rd,3,h,582000,SP,Brad,7/16/2016,15,3021,3,2,4,530,186,1980,Brimbank,-37.7375,144.8282,Western Metropolitan,1202,,2016
1775,Montmorency,19 Davey Rd,3,h,1160000,S,Ray,5/27/2017,16.2,3094,3,2,1,1125,126,1970,Banyule,-37.71541,145.11666,Eastern Metropolitan,3891,,2017
1776,Brunswick,38 Stewart St,3,h,1317000,S,Nelson,5/28/2016,5.2,3056,3,1,1,480,126,1970,Moreland,-37.7639,144.966,Northern Metropolitan,11918,,2016
1777,Burwood East,1 Sartori St,4,h,1600000,S,Fletchers,7/8/2017,14.7,3151,4,2,2,592,260,2007,Whitehorse,-37.84839,145.14299,Eastern Metropolitan,4048,,2017
1778,Elwood,23 Byron St,3,h,1520000,S,Chisholm,5/20/2017,7.7,3184,3,2,1,362,138,1900,Port Phillip,-37.8772,144.9904,Southern Metropolitan,8989,,2017
1779,Gardenvale,1/18 Magnolia Rd,2,u,595000,S,Biggin,11/19/2016,9.8,3185,2,1,1,0,75,1960,Glen Eira,-37.8994,145.0101,Southern Metropolitan,534,,2016
1780,Reservoir,10 Ryan St,3,h,620000,PI,Barry,12/3/2016,11.2,3073,3,1,2,762,126,1970,Darebin,-37.7021,144.9985,Northern Metropolitan,21650,,2016
1781,Preston,5 Newman St,2,h,942000,S,Love,8/6/2016,8.8,3072,2,2,0,3037,126,1970,Darebin,-37.7484,144.9949,Northern Metropolitan,14577,,2016
1782,Hawthorn,7/12 Pine St,2,u,487500,S,Kay,9/17/2016,4.6,3122,2,1,1,0,126,1970,Boroondara,-37.814,145.021,Southern Metropolitan,11308,,2016
1783,Sunbury,13 McComb St,4,h,410000,PI,Brad,7/8/2017,31.7,3429,4,2,2,587,164,1986,Hume,-37.58231,144.69962,Western Metropolitan,14092,,2017
1784,Templestowe Lower,5 Fran Ct,4,h,1181000,SP,Parkes,5/13/2017,13.8,3107,4,2,2,805,126,1970,Manningham,-37.7565,145.1067,Eastern Metropolitan,5420,,2017
1785,Greensborough,9 Tangari Ct,3,h,842000,S,Parkes,8/26/2017,16.1,3088,3,2,2,873,126,1985,,-37.69324,145.1023,Northern Metropolitan,8524,,2017
1786,Mordialloc,9A Montgomery St,3,t,1627000,S,hockingstuart,7/8/2017,21.5,3195,3,2,2,304,233,2007,Kingston,-38.00644,145.08478,South-Eastern Metropolitan,3650,,2017
1787,Elsternwick,12/66 Riddell Pde,2,u,626000,S,Gary,9/17/2016,8.5,3185,2,1,1,1764,100,1930,Glen Eira,-37.8889,145.0043,Southern Metropolitan,4898,,2016
1788,Malvern East,1411 Dandenong Rd,4,h,1290000,S,Buxton,5/13/2017,11.2,3145,4,2,2,395,126,1970,Stonnington,-37.8914,145.0842,Southern Metropolitan,8801,,2017
1789,Newport,73 Farm St,3,h,923000,S,Village,10/15/2016,8.4,3015,3,1,0,221,118,1900,Hobsons Bay,-37.8415,144.8852,Western Metropolitan,5498,,2016
1790,Vermont South,3 Reynella Cl,4,h,1400000,PI,Jellis,6/24/2017,17.2,3133,4,3,2,882,126,1970,Whitehorse,-37.85484,145.1989,Eastern Metropolitan,4280,,2017
1791,North Melbourne,9 Erskine St,2,h,1080000,S,Jellis,8/26/2017,1.8,3051,2,1,2,100,67,1890,,-37.79524,144.94642,Northern Metropolitan,6821,,2017
1792,Abbotsford,2 Federation La,3,h,855000,S,Nelson,6/24/2017,3,3067,3,2,1,92,116,2004,Yarra,-37.79683,144.99586,Northern Metropolitan,4019,,2017
1793,Abbotsford,52a William St,2,h,1100000,PI,Biggin,6/18/2016,2.5,3067,2,2,1,124,135,2013,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,,2016
1794,Ivanhoe,5/52 Locksley Rd,2,u,739000,S,Miles,5/7/2016,7.9,3079,2,1,1,648,91,1965,Banyule,-37.7702,145.0493,Eastern Metropolitan,5549,,2016
1795,Brighton,1/16 Black St,2,u,1100000,S,Buxton,11/12/2016,11.2,3186,2,1,2,0,85,1935,Bayside,-37.9131,144.995,Southern Metropolitan,10579,,2016
1796,Bayswater,18B Orchard Rd,3,t,640000,S,Fletchers,7/1/2017,23.2,3153,3,2,1,187,125,2010,Knox,-37.83909,145.26075,Eastern Metropolitan,5030,,2017
1797,Aspendale Gardens,13 Bianca Dr,3,h,880000,SP,Ray,9/9/2017,21.5,3195,3,2,1,588,126,1970,,-38.01909,145.1125,South-Eastern Metropolitan,2243,,2017
1798,Glen Iris,8 Rix St,3,h,1500000,S,RT,2/25/2017,9.2,3146,3,1,3,401,107,1935,Boroondara,-37.8471,145.051,Southern Metropolitan,10412,,2017
1799,Box Hill,5/10 Camelia St,2,u,780000,S,Ray,5/6/2017,13.1,3128,2,1,1,171,80,2014,Whitehorse,-37.8158,145.1384,Eastern Metropolitan,4605,,2017
1800,Ascot Vale,7 Elliott St,3,h,1490000,S,Nelson,5/20/2017,5.9,3032,3,2,1,542,126,1970,Moonee Valley,-37.781,144.9095,Western Metropolitan,6567,,2017
1801,Braybrook,35 Shepherd St,3,h,840000,S,Douglas,9/16/2017,8.6,3019,3,1,2,620,93,1960,,-37.78311,144.85331,Western Metropolitan,3589,,2017
1802,Moorabbin,11A Barbara St,4,h,930000,VB,McGrath,12/3/2016,14.6,3189,4,3,2,443,4,1970,Kingston,-37.9371,145.0578,Southern Metropolitan,2555,,2016
1803,Doncaster,109A Ayr St,4,t,1202000,S,Barry,6/17/2017,12.4,3108,4,3,0,403,126,1970,Manningham,-37.77744,145.10416,Eastern Metropolitan,9028,,2017
1804,Bentleigh,22 Hobart St,2,h,1275000,S,Woodards,9/3/2016,13,3204,2,1,2,599,126,1970,Glen Eira,-37.925,145.046,Southern Metropolitan,6795,,2016
1805,Clayton South,15 Byron St,3,h,985000,SP,Buxton,9/9/2017,17.5,3169,3,1,2,674,98,1950,,-37.93539,145.11986,South-Eastern Metropolitan,4734,,2017
1806,Thornbury,126 Smith St,3,h,1380000,SP,Jellis,8/28/2016,6.5,3071,3,2,1,359,128,1920,Darebin,-37.7565,144.9906,Northern Metropolitan,8870,,2016
1807,Brighton East,30 Studley Rd,4,h,1755000,PI,RT,11/19/2016,10.7,3187,4,2,2,0,126,1970,Bayside,-37.9292,145.0252,Southern Metropolitan,6938,,2016
1808,Coburg,32A Kelson St,3,h,1025000,VB,Jellis,2/25/2017,7.8,3058,3,1,3,336,112,1950,Moreland,-37.7408,144.9558,Northern Metropolitan,11204,,2017
1809,Armadale,17 Kooyong Rd,4,h,2000000,PI,Marshall,5/28/2016,6.3,3143,4,3,4,544,126,1970,Stonnington,-37.8611,145.0195,Southern Metropolitan,4836,,2016
1810,Sunshine,17 Barnard Ct,3,h,735000,S,Sweeney,3/4/2017,12.6,3020,3,1,2,539,126,1970,Brimbank,-37.7877,144.8398,Western Metropolitan,3755,,2017
1811,Glenroy,33 View St,4,h,638000,S,Barry,7/30/2016,13,3046,4,2,1,624,258,2005,Moreland,-37.6969,144.9334,Northern Metropolitan,8870,,2016
1812,Kew,30 College Pde,4,h,2590000,S,Marshall,3/18/2017,5.6,3101,4,2,2,660,215,1928,Boroondara,-37.8124,145.0361,Southern Metropolitan,10331,,2017
1813,Maribyrnong,6 Londrew Ct,3,h,975000,PI,Burnham,12/3/2016,8.7,3032,3,1,2,597,154,1970,Maribyrnong,-37.763,144.8877,Western Metropolitan,4918,,2016
1814,Port Melbourne,702/127 Beach St,2,u,1252000,SP,Cayzer,9/24/2016,3.8,3207,2,1,2,0,126,1970,Port Phillip,-37.8399,144.9287,Southern Metropolitan,8648,,2016
1815,St Kilda,4/66 Alma Rd,2,u,535000,PI,McGrath,11/19/2016,6.1,3182,2,1,1,0,126,1970,Port Phillip,-37.861,144.9891,Southern Metropolitan,13240,,2016
1816,Essendon,66 Roberts St,3,h,1710000,S,Nelson,9/23/2017,7.5,3040,3,1,2,795,126,1970,,-37.74903,144.89924,Western Metropolitan,9264,,2017
1817,Moonee Ponds,3 Pattison St,2,h,849000,S,Brad,11/19/2016,6.9,3039,2,1,1,345,95,1930,Moonee Valley,-37.773,144.9335,Western Metropolitan,6232,,2016
1818,Brighton,7 Carpenter St,3,h,2375000,S,Buxton,2/25/2017,11.2,3186,3,2,2,470,126,1970,Bayside,-37.9152,144.993,Southern Metropolitan,10579,,2017
1819,Glen Iris,1/9 Myrniong St,3,h,967500,S,Marshall,11/7/2016,9.2,3146,3,2,1,233,126,1970,Boroondara,-37.8515,145.0938,Southern Metropolitan,10412,,2016
1820,Oak Park,10 Magnolia St,5,h,1005000,S,Brad,5/20/2017,11.5,3046,5,3,2,647,126,1970,Moreland,-37.719,144.9254,Northern Metropolitan,2651,,2017
1821,North Melbourne,39/101 Leveson St,2,u,785000,S,Nelson,7/8/2017,1.8,3051,2,2,1,0,95,2008,Melbourne,-37.80202,144.95104,Northern Metropolitan,6821,,2017
1822,Burwood,1/24 Daniel St,3,t,975000,VB,Reed,4/8/2017,11.7,3125,3,2,2,267,150,2012,Whitehorse,-37.8463,145.1071,Southern Metropolitan,5678,,2017
1823,Elwood,4/193 Brighton Rd,2,u,480000,S,McGrath,6/3/2017,7.2,3184,2,1,1,1210,65,1968,Port Phillip,-37.8785,144.99316,Southern Metropolitan,8989,,2017
1824,Armadale,8/74 Denbigh Rd,2,u,410000,VB,hockingstuart,5/27/2017,6.3,3143,2,1,0,1097,63,1967,Stonnington,-37.85549,145.0163,Southern Metropolitan,4836,,2017
1825,Fairfield,197 Wingrove St,3,h,1125000,S,Jellis,6/4/2016,5.8,3078,2,1,2,530,126,1970,Darebin,-37.7788,145.0203,Northern Metropolitan,2970,,2016
1826,Coburg,17 Sutherland St,3,h,960000,S,Nelson,9/23/2017,6.7,3058,3,1,3,491,126,1970,,-37.73913,144.96086,Northern Metropolitan,11204,,2017
1827,Clifton Hill,137 Gold St,2,h,1000000,S,Nelson,5/20/2017,3.4,3068,2,1,0,193,126,1970,Yarra,-37.7936,144.9899,Northern Metropolitan,2954,,2017
1828,Maribyrnong,112 Edgewater Bvd,3,t,865000,PI,Clairmont,4/16/2016,8.7,3032,3,2,2,151,3,2010,Maribyrnong,-37.7855,144.8958,Western Metropolitan,4918,,2016
1829,Essendon,125a Ogilvie St,4,h,1590000,S,Nelson,11/12/2016,8,3040,4,3,1,475,272,2007,Moonee Valley,-37.7418,144.8938,Western Metropolitan,9264,,2016
1830,Kealba,14 Rowan Dr,3,h,570000,S,Barry,4/29/2017,15,3021,3,1,2,557,126,1970,Brimbank,-37.7279,144.8224,Western Metropolitan,1202,,2017
1831,Jacana,1 Robinson St,3,h,611000,S,Barry,2/25/2017,14.5,3047,3,1,3,624,93,1966,Hume,-37.6862,144.913,Northern Metropolitan,851,,2017
1832,Albert Park,6 Brooke St,2,h,980000,S,Greg,5/28/2016,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,,2016
1833,Chadstone,2/44 Railway Pde S,3,u,700000,S,Bekdon,6/4/2016,13.6,3148,2,2,1,224,94,2006,Monash,-37.8738,145.1054,Southern Metropolitan,3582,,2016
1834,Hawthorn,9/69 Wattle Rd,3,u,1189000,S,Marshall,12/3/2016,4.6,3122,3,1,1,181,122,1969,Boroondara,-37.8243,145.0328,Southern Metropolitan,11308,,2016
1835,Newport,8 Agg St,3,h,993000,SP,Williams,5/22/2016,8.4,3015,3,2,2,348,158,1900,Hobsons Bay,-37.8435,144.8788,Western Metropolitan,5498,,2016
1836,Keilor East,14 Paul Av,3,h,1076500,S,Nelson,9/9/2017,11.7,3033,3,1,1,638,126,1970,,-37.73951,144.86798,Western Metropolitan,5629,,2017
1837,Richmond,201/65 Stawell St,2,u,800000,VB,hockingstuart,7/15/2017,2.4,3121,2,2,2,0,89,2008,Yarra,-37.82201,145.0104,Northern Metropolitan,14949,,2017
1838,Glen Iris,23 Somerset Rd,3,h,1770000,SP,Noel,3/18/2017,9.2,3146,3,1,3,603,126,1970,Boroondara,-37.8503,145.0754,Southern Metropolitan,10412,,2017
1839,Brunswick East,33 Holmes St,2,h,950000,S,Nelson,9/16/2017,4,3057,2,2,1,224,89,1900,,-37.75995,144.97413,Northern Metropolitan,5533,,2017
1840,Bulleen,18 Penderel Wy,4,h,1580000,S,Barry,8/12/2017,10.8,3105,4,2,2,773,126,1970,Manningham,-37.76207,145.09336,Eastern Metropolitan,4480,,2017
1841,Lalor,1 Nebel St,3,h,685500,S,HAR,9/3/2017,16.3,3075,3,1,1,551,126,1970,,-37.66613,145.01347,Northern Metropolitan,8279,,2017
1842,Pascoe Vale,217 Sussex St,3,h,599000,SP,Ray,7/30/2016,9.9,3044,3,1,1,534,100,1950,Moreland,-37.7215,144.951,Northern Metropolitan,7485,,2016
1843,Malvern,24/1231 Malvern Rd,2,u,660000,S,Thomson,9/24/2016,7.4,3144,2,1,1,0,126,1970,Stonnington,-37.852,145.0343,Southern Metropolitan,4675,,2016
1844,Sunshine West,104 Hall St,3,h,668000,S,Barry,11/12/2016,13.5,3020,3,1,2,697,126,1970,Brimbank,-37.7897,144.7964,Western Metropolitan,6763,,2016
1845,Kensington,51 Rankins Rd,2,h,765000,S,Nardella,12/10/2016,4.2,3031,2,1,2,158,76,1965,Melbourne,-37.7902,144.9319,Northern Metropolitan,5263,,2016
1846,Malvern East,11 Findon St,2,h,1036000,S,Biggin,12/3/2016,11.2,3145,2,1,1,310,102,1910,Stonnington,-37.8717,145.0399,Southern Metropolitan,8801,,2016
1847,Yarraville,13 Simpson St,3,h,1100000,VB,Village,3/4/2017,7,3013,3,2,0,214,129,1910,Maribyrnong,-37.8175,144.8929,Western Metropolitan,6543,,2017
1848,Mitcham,11 Beaufort St,3,h,1101000,S,Ray,7/22/2017,17.2,3132,3,1,2,774,132.6,1950,Whitehorse,-37.80588,145.1981,Eastern Metropolitan,6871,,2017
1849,Coburg,8/6 McKay St,2,u,434000,S,Nelson,9/10/2016,7.8,3058,2,1,1,0,80,1965,Moreland,-37.7405,144.9644,Northern Metropolitan,11204,,2016
1850,Werribee,3 Parramatta Rd,3,h,452000,SP,Biggin,7/22/2017,14.7,3030,3,1,3,567,121,1980,Wyndham,-37.88666,144.66149,Western Metropolitan,16166,,2017
1851,Kew,6/62 Walpole St,2,u,682000,S,Nelson,5/27/2017,5.4,3101,2,1,1,0,80,1970,Boroondara,-37.80154,145.03258,Southern Metropolitan,10331,,2017
1852,Dallas,18 Berger St,3,h,459000,S,YPA,7/15/2017,14,3047,3,1,0,583,126,1970,Hume,-37.67048,144.93992,Northern Metropolitan,2246,,2017
1853,Blackburn South,14 Indra Rd,3,h,1264000,S,Noel,6/24/2017,13.4,3130,3,1,2,579,126,1960,Whitehorse,-37.83831,145.13985,Eastern Metropolitan,4387,,2017
1854,West Footscray,44 Clive St,3,h,1151500,SP,Sweeney,7/26/2016,8.2,3012,4,1,2,536,113,1925,Maribyrnong,-37.7978,144.8743,Western Metropolitan,5058,,2016
1855,Brunswick East,219 Glenlyon Rd,3,h,1330000,PI,Woodards,7/8/2017,4,3057,3,2,1,161,190,1890,Moreland,-37.77289,144.97503,Northern Metropolitan,5533,,2017
1856,Hampton,2/34 Linacre Rd,2,u,665000,S,Hodges,5/20/2017,13.7,3188,2,1,1,136,126,1970,Bayside,-37.9427,145.0052,Southern Metropolitan,5454,,2017
1857,Ormond,37 Thompson St,4,h,1715000,S,Buxton,12/3/2016,11.8,3204,4,2,2,705,226,1922,Glen Eira,-37.9035,145.028,Southern Metropolitan,3578,,2016
1858,Hawthorn East,5/305 Riversdale Rd,2,u,490000,S,Marshall,11/7/2016,7.5,3123,2,1,1,0,126,1970,Boroondara,-37.8301,145.0475,Southern Metropolitan,6482,,2016
1859,St Kilda,1/45 Robe St,2,u,400000,VB,McGrath,6/27/2016,6.1,3182,2,1,1,797,67,1970,Port Phillip,-37.8642,144.9793,Southern Metropolitan,13240,,2016
1860,Port Melbourne,34 Bridge St,2,h,875000,S,Cayzer,6/18/2016,3.8,3207,2,1,1,95,126,1970,Melbourne,-37.8381,144.9465,Southern Metropolitan,8648,,2016
1861,Bentleigh East,75 Victor Rd,3,t,825000,S,hockingstuart,9/17/2016,13.9,3165,3,1,1,642,126,1970,Glen Eira,-37.9269,145.0787,Southern Metropolitan,10969,,2016
1862,Balwyn,49 Metung St,5,h,3400000,VB,Jellis,6/18/2016,9.7,3103,5,6,4,739,502,1970,Boroondara,-37.8039,145.0714,Southern Metropolitan,5682,,2016
1863,Ferntree Gully,11 Aitken Ct,3,h,904000,SP,LJ,8/12/2017,24.8,3156,3,1,3,1014,126,1970,Knox,-37.88472,145.26653,Eastern Metropolitan,10788,,2017
1864,Brighton East,609 Nepean Hwy,2,h,805000,PI,Hodges,5/14/2016,10.7,3187,2,1,2,347,126,1970,Bayside,-37.9137,145.0164,Southern Metropolitan,6938,,2016
1865,Glen Waverley,11 Buller Dr,4,h,1331000,S,McGrath,5/27/2017,16.7,3150,4,2,2,762,126,1970,Monash,-37.86584,145.16502,Eastern Metropolitan,15321,,2017
1866,Camberwell,28 Kintore St,4,h,5020000,S,Jellis,5/20/2017,7.8,3124,4,4,3,892,126,1970,Boroondara,-37.823,145.0621,Southern Metropolitan,8920,,2017
1867,Sandringham,79 Victoria St,4,h,2100000,S,Buxton,5/27/2017,15.2,3191,4,2,2,831,126,1945,Bayside,-37.95694,145.01936,Southern Metropolitan,4497,,2017
1868,Richmond,4 Bell St,2,h,1172000,S,Collins,6/17/2017,2.4,3121,2,1,0,155,126,1970,Yarra,-37.82418,145.00185,Northern Metropolitan,14949,,2017
1869,Williamstown,26A Macquarie St,3,h,1262000,S,Williams,2/25/2017,8,3016,3,2,2,204,126,1970,Hobsons Bay,-37.8551,144.8959,Western Metropolitan,6380,,2017
1870,Hawthorn,12 Morang Rd,3,h,1980000,S,Jellis,11/27/2016,4.6,3122,3,2,1,151,126,1970,Boroondara,-37.8219,145.0241,Southern Metropolitan,11308,,2016
1871,Kew,302 Cotham Rd,4,h,1312000,PI,RT,9/17/2016,5.6,3101,4,2,1,687,180,1955,Boroondara,-37.8096,145.0529,Southern Metropolitan,10331,,2016
1872,Carnegie,8/54 Moonya Rd,1,u,346000,S,Woodards,3/4/2017,11.4,3163,1,1,1,60,48,1970,Glen Eira,-37.8965,145.0618,Southern Metropolitan,7822,,2017
